itemcode,item,in blocks,metrics,price per unit,currency,fees,volume from,volume to
*,Cloud - Applications,,,,,,,
**,Cloud - Business Transformation Management,,,,,,,
8015452,"SAP Cloud Identity Access Governance, standard edition","1,000",Resource,"4,324.00",USD,Month,126,Infinite
8015461,SAP Secure Login Service for SAP GUI,500,User,499,USD,Month,1,6
8015461,SAP Secure Login Service for SAP GUI,500,User,360,USD,Month,7,20
8015461,SAP Secure Login Service for SAP GUI,500,User,233,USD,Month,21,100
8015461,SAP Secure Login Service for SAP GUI,500,User,165,USD,Month,101,200
8015461,SAP Secure Login Service for SAP GUI,500,User,122,USD,Month,201,Infinite
8015465,"SAP Enterprise Threat Detection, private cloud edition",100,Resource,"3,217.00",USD,Month,1,35
8015465,"SAP Enterprise Threat Detection, private cloud edition",100,Resource,"2,053.00",USD,Month,36,75
8015465,"SAP Enterprise Threat Detection, private cloud edition",100,Resource,"1,073.00",USD,Month,76,200
8015465,"SAP Enterprise Threat Detection, private cloud edition",100,Resource,521,USD,Month,201,600
8015465,"SAP Enterprise Threat Detection, private cloud edition",100,Resource,368,USD,Month,601,Infinite
8015483,"SAP Identity Management, private cloud edition",100,Resource,"5,983.00",USD,Month,1,20
8015483,"SAP Identity Management, private cloud edition",100,Resource,"2,551.00",USD,Month,21,50
8015483,"SAP Identity Management, private cloud edition",100,Resource,"1,549.00",USD,Month,51,200
8015483,"SAP Identity Management, private cloud edition",100,Resource,504,USD,Month,201,Infinite
8015511,"SAP Access Control Cloud, extra stack, private cloud edition",100,Resource,"2,439.00",USD,Month,1,50
8015511,"SAP Access Control Cloud, extra stack, private cloud edition",100,Resource,"1,524.00",USD,Month,51,100
8015511,"SAP Access Control Cloud, extra stack, private cloud edition",100,Resource,"1,039.00",USD,Month,101,150
